Loading (p.u.),Name,Bus1,Bus2,
1.0128846517560408,Line.l(r:p3udt2202-p3udt29569),p3udt2202-p3udt29569x.1.2.3,p3udt2202-p3udt29569xx.1.2.3,
1.0129211082317022,Line.padswitch(r:p3udt15308-p3udt29569)p3u_186127,p3udt29569.1.2.3,p3udt15308-p3udt29569xx.1.2.3,
1.012921110746264,Line.l(r:p3udt15308-p3udt29569),p3udt15308-p3udt29569xx.1.2.3,p3udt15308-p3udt29569x.1.2.3,
1.0133405248915808,Line.padswitch(r:p3udt11817-p3udt17244)p3u_169958,p3udt11817.1.2.3,p3udt11817-p3udt17244x.1.2.3,
1.0135961564295968,Line.padswitch(r:p4udt1172-p4udt18739)p4u_70800,p4udt1172.1.2.3,p4udt1172-p4udt18739x.1.2.3,
1.0135961592615366,Line.l(r:p4udt1172-p4udt18739),p4udt1172-p4udt18739x.1.2.3,p4udt1172-p4udt18739xx.1.2.3,
1.0136225382235098,Line.l(r:p4udt18739-p4udt2267),p4udt18739-p4udt2267x.1.2.3,p4udt18739-p4udt2267xx.1.2.3,
1.0138118366902709,Line.padswitch(r:p3udt26197-p3udt3903)p3u_174817,p3udt26197-p3udt3903x.1.2.3,p3udt26197.1.2.3,
1.013826092265441,Line.padswitch(r:p5udt30241-p5udt8247)p5u_139848,p5udt30241-p5udt8247xx.1.2.3,p5udt8247.1.2.3,
1.013826095616733,Line.padswitch(r:p5udt27405-p5udt8247)p5u_139845,p5udt8247.1.2.3,p5udt27405-p5udt8247xx.1.2.3,
1.0140230984078007,Line.l(r:p1udt17670-p1udt7408),p1udt17670-p1udt7408xx.1.2.3,p1udt17670-p1udt7408x.1.2.3,
1.014036018257299,Line.padswitch(r:p1udt17670-p1udt7408)p1u_264515,p1udt17670-p1udt7408x.1.2.3,p1udt17670.1.2.3,
1.0140360193678561,Line.padswitch(r:p1udt17670-p1udt8205)p1u_264512,p1udt17670.1.2.3,p1udt17670-p1udt8205x.1.2.3,
1.0140360204843868,Line.l(r:p1udt17670-p1udt8205),p1udt17670-p1udt8205x.1.2.3,p1udt17670-p1udt8205xx.1.2.3,
1.0140427911121033,Line.padswitch(r:p1udt17670-p1udt8205)p1u_264513,p1udt17670-p1udt8205xx.1.2.3,p1udt8205.1.2.3,
1.0140427933338063,Line.l(r:p1udt6045-p1udt8205),p1udt6045-p1udt8205xx.1.2.3,p1udt6045-p1udt8205x.1.2.3,
1.0140460030044511,Line.l(r:p3udm33191-p3udt9965lv),p3udt9965lv.1.2,p3udm33191.1.2,
1.0140629942925348,Line.padswitch(r:p1udt6045-p1udt8205)p1u_264511,p1udt6045-p1udt8205x.1.2.3,p1udt6045.1.2.3,
1.0141955849239737,Line.padswitch(r:p1udt15952-p1udt3673)p1u_234991,p1udt3673.1.2.3,p1udt15952-p1udt3673xx.1.2.3,
1.0142177391388114,Line.padswitch(r:p1udt15952-p1udt3673)p1u_234992,p1udt15952-p1udt3673x.1.2.3,p1udt15952.1.2.3,
1.0144994809231318,Line.l(r:p1rdm9617-p1rdt5064lv),p1rdt5064lv.1.2,p1rdm9617.1.2,
1.0147428557771163,Line.padswitch(r:p1udt23147-p1udt5858)p1u_236406,p1udt5858.1.2.3,p1udt23147-p1udt5858xx.1.2.3,
1.0149421753820738,Line.sb10_p1uhs14_1247_354,sb10_p1uhs14_1247_node_10_7.1.2.3,sb10_p1uhs14_1247_bus_10_1.1.2.3,
1.0151348096970496,Line.l(r:p3udt12987-p3udt30850),p3udt12987-p3udt30850x.1.2.3,p3udt12987-p3udt30850xx.1.2.3,
1.0151485757266288,Line.padswitch(r:p3udt12987-p3udt30850)p3u_178065,p3udt12987-p3udt30850xx.1.2.3,p3udt30850.1.2.3,
1.0151485779596896,Line.padswitch(r:p3udt16261-p3udt30850)p3u_178062,p3udt30850.1.2.3,p3udt16261-p3udt30850xx.1.2.3,
1.0151485801872964,Line.l(r:p3udt16261-p3udt30850),p3udt16261-p3udt30850xx.1.2.3,p3udt16261-p3udt30850x.1.2.3,
1.015157750506922,Line.padswitch(r:p3udt16261-p3udt30850)p3u_178063,p3udt16261-p3udt30850x.1.2.3,p3udt16261.1.2.3,
1.0151577527347264,Line.padswitch(r:p3udt16261-p3udt7192)p3u_178060,p3udt16261.1.2.3,p3udt16261-p3udt7192x.1.2.3,
1.0151577549615405,Line.l(r:p3udt16261-p3udt7192),p3udt16261-p3udt7192x.1.2.3,p3udt16261-p3udt7192xx.1.2.3,
1.0152625545296237,Line.l(r:p5udt7141-p5udt7484),p5udt7141.1.2.3,p5udt7484.1.2.3,
1.0154220763418895,Line.padswitch(r:p1udt12355-p1udt19670)p1u_253516,p1udt12355-p1udt19670xx.1.2.3,p1udt19670.1.2.3,
1.0154220827278309,Line.padswitch(r:p1udt19670-p1udt19671)p1u_253513,p1udt19670.1.2.3,p1udt19670-p1udt19671x.1.2.3,
1.015841910620531,Line.padswitch(r:p1udt16788-p1udt3489)p1u_256016,p1udt3489.1.2.3,p1udt16788-p1udt3489xx.1.2.3,
1.015841913132415,Line.l(r:p1udt16788-p1udt3489),p1udt16788-p1udt3489xx.1.2.3,p1udt16788-p1udt3489x.1.2.3,
1.0158599594546862,Line.padswitch(r:p1udt16788-p1udt3489)p1u_256017,p1udt16788-p1udt3489x.1.2.3,p1udt16788.1.2.3,
1.0158599619651003,Line.padswitch(r:p1udt16788-p1udt3488)p1u_256014,p1udt16788.1.2.3,p1udt16788-p1udt3488x.1.2.3,
1.0158599644754993,Line.l(r:p1udt16788-p1udt3488),p1udt16788-p1udt3488x.1.2.3,p1udt16788-p1udt3488xx.1.2.3,
1.0158773146998343,Line.padswitch(r:p1udt16788-p1udt3488)p1u_256015,p1udt16788-p1udt3488xx.1.2.3,p1udt3488.1.2.3,
1.0158773172080042,Line.padswitch(r:p1udt3488-p1udt4986)p1u_256012,p1udt3488.1.2.3,p1udt3488-p1udt4986x.1.2.3,
1.0158773197101585,Line.l(r:p1udt3488-p1udt4986),p1udt3488-p1udt4986x.1.2.3,p1udt3488-p1udt4986xx.1.2.3,
1.0162603491608908,Line.l(r:p1udt11369-p1udt20025)p1ud3,p1udt11369-p1udt20025x.1.2.3,p1udt11369-p1udt20025xx.1.2.3,
1.0165993374182978,Line.padswitch(r:p4udt7046-p4udt8807)p4u_63616,p4udt7046-p4udt8807xx.1.2.3,p4udt8807.1.2.3,
1.0168090636301834,Line.padswitch(r:p2udt3151-p2udt7239)p2u_40441,p2udt3151.1.2.3,p2udt3151-p2udt7239x.1.2.3,
1.0176173305328082,Line.l(r:p3udt23999-p3udt31916),p3udt31916.1.2.3,p3udt23999.1.2.3,
1.0177502006061228,Line.padswitch(r:p1udt21266-p1udt6863)p1u_263801,p1udt6863.1.2.3,p1udt21266-p1udt6863xx.1.2.3,
1.0177502028926484,Line.l(r:p1udt21266-p1udt6863),p1udt21266-p1udt6863xx.1.2.3,p1udt21266-p1udt6863x.1.2.3,
